,Accuracy,Precision,Recall,F-Score
.\Datasets\Jamendo\_1.00_vocal.h5,0.94140625,0.932872655,0.955027792,0.943820225
,,,,
.\Datasets\Jamendo\_1.00_normal.h5,0.7265625,0.765276985,0.677109651,0.71849866
,,,,
.\Datasets\Electrobyte\_1.00_vocal.h5,0.839896522,0.811111111,0.855644664,0.832782948
,,,,
.\Datasets\Electrobyte\_1.00_normal.h5,0.82178787,0.826058632,0.782233189,0.803548796
,,,,
.\Datasets\Fusion\_1.00_vocal.h5,0.915672451,0.877094972,0.925950197,0.900860695
,,,,
.\Datasets\Fusion\_1.00_normal.h5,0.789045553,0.717948718,0.80733945,0.760024676
