,Accuracy,Precision,Recall,F1-Measure
5,0.927160564,0.925950197,0.932981182,0.929452393
6,0.924166724,0.919863821,0.934051323,0.926903285
7,0.926299645,0.919975377,0.938314236,0.929054317
8,0.929382211,0.918567919,0.946644963,0.932395119
9,0.927009612,0.921285141,0.93881727,0.929968582
10,0.930772878,0.92380523,0.943370166,0.933485194
11,0.927894737,0.922807018,0.938806731,0.930738119
12,0.932676994,0.923013923,0.948653199,0.935657949
13,0.938195106,0.940704138,0.939253777,0.939978398
14,0.936302434,0.927569331,0.95083612,0.939058629
15,0.933681073,0.921513665,0.952208545,0.936609687
16,0.932206799,0.937695925,0.930766239,0.934218232
17,0.936449806,0.938307628,0.938698916,0.938503231
18,0.931786863,0.926265271,0.943136384,0.934624697
19,0.935017165,0.930373832,0.94494542,0.937603014
20,0.9328125,0.926623699,0.944416372,0.935435435
21,0.938842975,0.932247899,0.950214133,0.941145281
22,0.942431327,0.935072142,0.954674221,0.944771517
23,0.938442598,0.93877551,0.941034898,0.939903846
24,0.941897999,0.935985084,0.951358181,0.943609023
25,0.934656175,0.930125247,0.943181818,0.936608032
26,0.942672877,0.937413074,0.950634697,0.943977591
27,0.93605086,0.931281317,0.945494186,0.938333934
28,0.944118796,0.936154417,0.956752656,0.946341463
29,0.932098765,0.927662957,0.940370669,0.933973589
