,,Accuracy,Precision,Recall,F1-Measure
.\Datasets\Jamendo\_1.00_vocal.h5,PLP,0.905208333,0.898371978,0.920161698,0.909136296
.\Datasets\Jamendo\_1.00_vocal.h5,Chroma,0.777864583,0.803667745,0.752905508,0.777458909
.\Datasets\Jamendo\_1.00_vocal.h5,LPC,0.882552083,0.87972167,0.894391107,0.88699574
.\Datasets\Jamendo\_1.00_vocal.h5,MFCC,0.915625,0.918140475,0.918140475,0.918140475
.\Datasets\Jamendo\_1.00_vocal.h5,MFCC_1_delta,0.920052083,0.926095821,0.918140475,0.92210099
.\Datasets\Jamendo\_1.00_vocal.h5,MFCC_2_delta,0.912239583,0.93810032,0.888327438,0.912535686
.\Datasets\Jamendo\_1.00_vocal.h5,SSF,0.90625,0.882019821,0.944416372,0.912152269
.\Datasets\Electrobyte\_1.00_vocal.h5,PLP,0.794481173,0.755067568,0.827267119,0.789520165
.\Datasets\Electrobyte\_1.00_vocal.h5,Chroma,0.686979017,0.736654804,0.510795805,0.603278689
.\Datasets\Electrobyte\_1.00_vocal.h5,LPC,0.773210693,0.727074236,0.821714991,0.771503041
.\Datasets\Electrobyte\_1.00_vocal.h5,MFCC,0.810002874,0.782021152,0.821098088,0.801083358
.\Datasets\Electrobyte\_1.00_vocal.h5,MFCC_1_delta,0.814601897,0.793269231,0.814312153,0.803652968
.\Datasets\Electrobyte\_1.00_vocal.h5,MFCC_2_delta,0.815176775,0.825132979,0.765576804,0.79424
.\Datasets\Electrobyte\_1.00_vocal.h5,SSF,0.844495545,0.817273796,0.858112276,0.837195305
