,,Accuracy,Precision,Recall,F1-Measure
.\Datasets\Jamendo\_1.00_vocal.h5,PLP,0.895052083,0.874169041,0.930267812,0.901346389
.\Datasets\Jamendo\_1.00_vocal.h5,Chroma,0.747395833,0.77373847,0.720565942,0.746206175
.\Datasets\Jamendo\_1.00_vocal.h5,LPC,0.8859375,0.849433107,0.946437595,0.895315488
.\Datasets\Jamendo\_1.00_vocal.h5,MFCC,0.922395833,0.926001014,0.923193532,0.924595142
.\Datasets\Jamendo\_1.00_vocal.h5,MFCC_1_delta,0.926041667,0.926522396,0.930267812,0.928391326
.\Datasets\Jamendo\_1.00_vocal.h5,MFCC_2_delta,0.922916667,0.936689154,0.912076806,0.92421915
.\Datasets\Jamendo\_1.00_vocal.h5,SSF,0.9140625,0.895443645,0.94340576,0.918799213
.\Datasets\Electrobyte\_1.00_vocal.h5,PLP,0.75797643,0.699436764,0.842689698,0.764409625
.\Datasets\Electrobyte\_1.00_vocal.h5,Chroma,0.703650474,0.691807542,0.656384948,0.673630896
.\Datasets\Electrobyte\_1.00_vocal.h5,LPC,0.761713136,0.696039604,0.867365824,0.772315298
.\Datasets\Electrobyte\_1.00_vocal.h5,MFCC,0.837022133,0.807467911,0.853793954,0.829985007
.\Datasets\Electrobyte\_1.00_vocal.h5,MFCC_1_delta,0.822650187,0.790845886,0.842072795,0.815655811
.\Datasets\Electrobyte\_1.00_vocal.h5,MFCC_2_delta,0.804254096,0.748677249,0.872917952,0.806038166
.\Datasets\Electrobyte\_1.00_vocal.h5,SSF,0.844782984,0.830985915,0.837137569,0.8340504
